Fototeny,sampateny
tsifaka,"fitsifaka, mitsifaka, tsifahina"
tsihanihany,mitsihanihany
tsihika,"anihifana, atsihika, fanihifana, fanihika, mahatsihika, manihika, mpanihika, tsihifina, tsihitsihika, voatsihika"
tsika,"fanatsika, fanatsika"
tsika,"anatsihana, atsika, fitsihana, fitsika, itsihana, mahatsika, manatsika, mitsika, mpanatsika, tsihina, voatsika"
tsikabaka,"fitsikabaka, mitsikabaka"
tsikaiky,mahatsikaiky
tsikakakaka,mitsikakakaka
tsikala,mahatsikala
tsikala,"atsikala, fanatsikala, fanatsikalana, fanatsikalana, fanatsikalana, fanatsikalanana, fitsikala, fitsikalana, manatsikala, mitsikala, mpanatsikala, tafatsikala, tsikalaina, tsikalakala, tsikalàna, voatsikala"
tsikalana,"anatsikalanana, atsikalana, fitsikalanana, itsikalanana, mahatsikalana, manatsikalana, mitsikalana, mpanatsikalana, tafatsikalana, tsikalanina, tsikalankalana"
tsikamokamo,"fitsikamokamo, fitsikamokamoana, mitsikamokamo"
tsikanikany,"fitsikanikany, mitsikanikany, mpitsikanikany"
tsikanina,"anatsikaninana, atsikanina, fanatsikanina, fanatsikaninana, fitsikanina, fitsikaninana, itsikaninana, mahatsikanina, manatsikanina, mitsikanina, mpanatsikanina, mpitsikanina, tafatsikanina, tsikaninkanina, voatsikanina"
tsikarakara,"fitsikarakara, mitsikarakara"
tsikarakaraka,mitsikarakaraka
tsikaritra,"mahatsikaritra, voatsikaritra"
tsikaroka,"atsikaroka, fitsikarohana, fitsikaroka, itsikarohana, mahatsikaroka, mitsikaroka, mpitsikaroka, tafatsikaroka, tsikarohina, tsikarokaroka, voatsikaroka"
tsikebona,"anatsikebonana, atsikebona, fanatsikebona, fanatsikebonana, fitsikebona, fitsikebonana, itsikebonana, mahatsikebona, manatsikebona, mitsikebona, mpanatsikebona, mpitsikebona, tafatsikebona, tsikebonina, tsikebonkebona, voatsikebona"
tsikefakefaka,"anatsikefakefahana, atsikefakefaka, fanatsikefakefahana, fanatsikefakefaka, fitsikefakefahana, fitsikefakefaka, itsikefakefahana, mahatsikefakefaka, manatsikefakefaka, mitsikefakefaka, mpanatsikefakefaka, tsikefakefahina, voatsikefakefaka"
tsikehina,mitsikehina
tsikera,"fitsikerana, fitsikerana, mpitsikera"
tsikera,"anatsikerana, atsikera, fanatsikera, fanatsikera, fanatsikerana, fitsikera, itsikerana, mahatsikera, manatsikera, mitsikera, mpanatsikera, tsikeraina, tsikerakera, voatsikera"
tsikerakera,mitsikerakera
tsiky,"atsiky, fitsiky, fitsikiana, itsikiana, mahatsiky, mitsiky, mpitsiky, tafatsiky, tsikitsiky"
tsikiakia,itsikiakiavana
tsikiakia,"fitsikiakia, fitsikiakianana, fitsikiakiavana, itsikiakianana, mahatsikiakia, mitsikiakia, mpitsikiakia, tafatsikiakia"
tsikikikiky,mitsikikikiky
tsikilo,itsikiloana
tsikilo,"atsikilo, fitsikilo, fitsikiloana, mahatsikilo, mampitsikilo, mifampitsikilo, mitsikilo, mpitsikilo, tafatsikilo, tsikiloina, tsikilokilo, tsikilovina, voatsikilo"
tsikintsikina,"fitsikintsikina, fitsikintsikinana, itsikintsikinana, mahatsikintsikina, mitsikintsikina, mpitsikintsikina, tafatsikintsikina"
tsikirikiry,mitsikirikiry
tsikitsiky,hitsikitsiky
tsikofokofoka,"fitsikofokofohana, fitsikofokofoka, itsikofokofohana, mahatsikofokofoka, mitsikofokofoka, mpitsikofokofoka, tafatsikofokofoka"
tsikoinkoina,"anatsikoinkoinana, fanatsikoinkoina, fanatsikoinkoinana, fitsikoinkoina, fitsikoinkoinana, itsikoinkoinana, mahatsikoinkoina, manatsikoinkoina, mitsikoinkoina, mpanatsikoinkoina, mpitsikoinkoina, tafatsikoinkoina"
tsikoko,tsikokoina
tsikondry,tsikondrikondry
tsikondrikondry,mitsikondrikondry
tsikozakoza,"anatsikozakozana, fanatsikozakoza, fanatsikozakozana, fitsikozakoza, fitsikozakozana, itsikozakozana, mahatsikozakoza, manatsikozakoza, mitsikozakoza, mpanatsikozakoza, mpitsikozakoza, tafatsikozakoza, tsikozakozaina"
tsilaiko,mitsilaiko
tsilaikolaiko,mitsilaikolaiko
tsilailay,"atsilailay, fitsilailay, fitsilailaizana, itsilailaizana, mahatsilailay, mitsilailay, mpitsilailay, tafatsilailay"
tsilamodamoka,mitsilamodamoka
tsilañy,mantsilany
tsilany,"anatsilanesana, atsilany, fanatsilanesana, fanatsilany, fitsilanesana, fitsilany, itsilanesana, mahatsilany, manatsilany, mitsilany, mpanatsilany, mpitsilany, tafatsilany, tsilanilany"
tsilasilasy,"atsilasilasy, mitsilasilasy, tafatsilasilasy"
tsililalila,"fitsililalila, mitsililalila"
tsilo,"fanilo, fanilo, fanilo, tsiloina, tsiloina"
tsilo,"aniloana, atsilo, faniloana, manilo, manilo, mpanilo, tsilotsilo, voatsilo"
tsilo,"atsilo, fitsilo, fitsilovana, itsilovana, mahatsilo, manilo, matsilo, mitsilo, mpitsilo, tsilovina"
tsiloliloly,"fitsiloliloly, mitsiloliloly"
tsilopilopy,mitsilopilopy
tsilotidotika,"fitsilotidotika, mitsilotidotika"
tsilotsilo,"manilotsilo, mitsilotsilo"
tsimbadika,"anatsimbadihana, atsimbadika, fanatsimbadihana, fanatsimbadika, fitsimbadihana, fitsimbadika, itsimbadihana, mahatsimbadika, manatsimbadika, mitsimbadika, mpanatsimbadika, mpitsimbadika, tafatsimbadika, tsimbadimbadika, voatsimbadika"
tsimberivery,"fitsimberiverena, fitsimberivery, itsimberiverena, mitsimberivery, mpitsimberivery, tafatsimberivery"
tsimbina,"atsimbina, fifampitsimbinana, fitsimbina, fitsimbinana, itsimbinana, mahatsimbina, mitsimbina, mpitsimbina, tsimbinina, voatsimbina"
tsimbohitra,"atsimbohitra, fitsimbohirana, fitsimbohitra, mahatsimbohitra, mitsimbohitra, mpitsimbohitra, tafatsimbohitra, tsimbohimbohitra, voatsimbohitra"
tsimedameda,mitsimedameda
tsimina,mpanamina
tsimina,"animinana, atsimina, fanimina, faniminana, mahatsimina, manimina, mpanimina, tsiminina, voatsimina"
tsimintsimina,"atsimintsimina, fitsimintsimina, fitsimintsiminana, itsimintsiminana, mahatsimintsimina, mitsimintsimina, mpitsimintsimina, tafatsimintsimina"
tsimoka,"fitsimohana, fitsimoka, itsimohana, mahatsimoka, mitsimoka, tafatsimoka"
tsimontsimona,"atsimontsimona, fitsimontsimona, fitsimontsimonana, itsimontsimonana, mahatsimontsimona, mitsimontsimona, mpitsimontsimona, tafatsimontsimona"
tsimozimozy,mitsimozimozy
tsimpohafoha,"anatsimpohafohazana, atsimpohafoha, fanatsimpohafoha, fanatsimpohafohazana, fitsimpohafoha, fitsimpohafohazana, itsimpohafohazana, mahatsimpohafoha, manatsimpohafoha, mitsimpohafoha, mpanatsimpohafoha, mpitsimpohafoha, tsimpohafohazina, voatsimpohafoha"
tsimpona,"atsimpona, fitsimpona, fitsimponana, itsimponana, mahatsimpona, mitsimpona, mpitsimpona, tsimponina, tsimpontsimpona, voatsimpona"
tsinainaina,"fitsinainaina, mitsinainaina"
tsinaka,"fitsinaka, mitsinaka, tsinatsinaka"
tsinanginangy,"fitsinanginangy, fitsinanginangiana, itsinanginanginana, mahatsinanginangy, mitsinanginangy, mpitsinanginangy"
tsinanika,"fitsinanika, mitsinanika"
tsinatsinaka,mitsinatsinaka
tsindoha,tsindohaina
tsindrahadrahaka,mitsindrahadrahaka
tsindrantsindrana,"atsindrantsindrana, fitsindrantsindrana, fitsindrantsindranana, itsindrantsindranana, mahatsindrantsindrana, mitsindrantsindrana, tafatsindrantsindrana"
tsindry,"anindriana, atsindry, fanindry, fanindriana, fitsindry, fitsindriana, itsindriana, mahatsindry, mampanindry, mampantsindry, mampifanindry, mampifantsindry, manindry, mifanindry, mifantsindry, mitsindry, mpanindry, tafatsindry, tsindriana, tsinindry, voatsindry"
tsindrika,"fanindrika, fitsindrika"
tsindrika,"anindrihana, atsindrika, fanindrihana, mahatsindrika, manindrika, mpanindrika, tsindrihina, voatsindrika"
tsindroana,"anatsindroandroanana, fanatsindmandroanana, fanatsindroandroana, fanatsindroandroanana, fitsindroana, fitsindroandroanana, itsindroandroanana, mitsindroana, mitsindroandroana, mpanatsindroandroana, mpitsindroana, tsindroandroana, tsindroanina, voatsindroana"
tsindroandroana,"fitsindroandroana, mahatsindroandroana, manatsindroandroana"
tsindroka,"atsindroka, fitsindrohana, fitsindroka, itsindrohana, mahatsindroka, mitsindroka, mitsindrotsindroka, mpitsindroka, tsindrohina, tsindrotsindroka, voatsindroka"
tsindrona,"anindronana, atsindrona, fanindrona, fanindronana, fitsindrona, fitsindronana, itsindronana, mahatsindrona, mampantsindrona, mampifantsindrona, manindrona, mifantsindrona, mitsindrona, mpanindrona, mpitsindrona, tsindronina, tsindrontsindrona, voatsindrona"
tsindrontsindrona,fanindrontsindronana
tsingadina,"anatsingadinana, atsingadina, fanatsingadina, fanatsingadinana, fitsingadina, fitsingadinana, itsingadinana, mahatsingadina, manatsingadina, mitsingadina, mpanatsingadina, mpitsingadina, tafatsingadina, tsingadingadina, voatsingadina"
tsingala,tsingalahala
tsingalahala,"fitsingalahalana, itsingalahalana, mitsingalahala"
tsinganga,"anatsingangàna, atsinganga, fanatsinganga, fanatsingangana, fitsinganga, fitsingangana, itsingangàna, mahatsinganga, manatsinganga, maninganga, mitsinganga, mpanatsinganga, tafatsinganga, tsingangaina, tsinganganganga, voatsinganga"
tsingaoka,tsingaohina
tsingatotra,"anatsingatorana, atsingatotra, fanatsingatorana, fanatsingatotra, fitsingatorana, fitsingatotra, itsingatorana, mahatsingatotra, manatsingatotra, mitsingatotra, mpanatsingatotra, mpitsingatotra, tafatsingatotra, tsingatongatotra"
tsingedana,"anatsingedanana, atsingedana, fanatsingedana, fanatsingedanana, fitsingedana, fitsingedanana, itsingedanana, mahatsingedana, manatsingedana, mitsingedana, mpanatsingedana, mpitsingedana, tafatsingedana, tsingedangedana, voatsingedana"
tsingentana,tsingentangentana
tsingerina,"anatsingerenana, fanatsingerenana, fanatsingerina, fitsingerenana, fitsingerina, itsingerenana, mahatsingerina, manatsingerina, mitsingerina, mpanatsingerina, mpitsingerina, tafatsingerina, voatsingerina"
tsingevina,"anatsingevenana, atsingevina, fanatsingevenana, fanatsingevina, fitsingevenana, fitsingevina, itsingevenana, mahatsingevina, manatsingevina, mitsingevina, mpanatsingevina, mpitsingevina, tsingevingevina, voatsingevina"
tsingevotra,mitsingevotra
tsingy,mitsingy
tsingidina,mitsingidina
tsingilahila,"anatsingilahilana, atsingilahila, fanatsingilahila, fanatsingilahilana, fitsingilahila, fitsingilahilana, itsingilahilàna, mahatsingilahila, manatsingilahila, mitsingilahila, mpanatsingilahila, mpitsingilahila, tafatsingilahila, voatsingilahila"
tsingina,"atsingina, faningina, fitsingina, mahatsingina, mitsingina, mpitsingina, voatsingina, voatsingina"
tsingina,"aninginana, faninginana, maningina, tsinginana"
tsingina,"fitsinginana, itsinginana, tsinginina, tsingintsingina"
tsingintsingina,mitsingintsingina
tsingoana,"anatsingoanana, atsingoana, fanatsingoana, fanatsingoanana, fitsingoana, fitsingoanana, itsingoanana, mahatsingoana, manatsingoana, mitsingoana, mpanatsingoana, mpitsingoana, tafatsingoana, tsingoangoana, voatsingoana"
tsingoloka,"anatsingolohana, atsingoloka, fanatsingolohana, fanatsingoloka, fitsingolohana, fitsingoloka, itsingolohana, mahatsingoloka, manatsingoloka, maningoloka, mitsingoloka, mpanatsingoloka, mpitsingoloka, tafatsingoloka, tsingolongoloka, voatsingoloka"
tsingozahoza,"fitsingozahoza, fitsingozahozana, itsingozahozana, mahatsingozahoza, mitsingozahoza, mpitsingozahoza"
tsiny,"aniniana, faniny, faniniana, mampantsiny, maniny, maniny, mifantsiny, mpaniny, tsinina, tsinina, voatsiny"
tsiny,mahatsiny
tsininganingana,"fitsininganingana, fitsininganinganana, itsininganinganana, mahatsininganingana, mitsininganingana, mpitsininganingana, tafatsininganingana"
tsinjaka,"atsinjaka, fitsinjahana, fitsinjaka, itsinjahana, mahatsinjaka, mitsinjaka, mpitsinjaka, tafatsinjaka, tsinjahina, tsinjatsinjaka"
tsinjara,"anatsinjarana, atsinjara, fanatsinjara, fanatsinjarana, faninjara, fitsinjara, fitsinjarana, itsinjarana, mahatsinjara, manatsinjara, maninjara, mitsinjara, mpanatsinjara, mpitsinjara, tsinjaraina, voatsinjara"
tsinjarazara,fitsinjarazarana
tsinjo,"ahatsinjovana, atsinjo, fitsinjo, fitsinjo, fitsinjovana, itsinjovana, mahatsinjo, mitsinjo, mpitsinjo, tsininjo, tsinjotsinjo, tsinjovina, voatsinjo"
tsinkafona,"anatsinkafonana, atsinkafona, fanatsinkafona, fanatsinkafonana, fitsinkafona, fitsinkafonana, mahatsinkafona, manatsinkafona, mitsinkafona, mpanatsinkafona, tafatsinkafona, voatsinkafona"
tsinkasina,"anatsinkasinana, atsinkasina, fanatsinkasina, fanatsinkasinana, fitsinkasina, fitsinkasinana, itsinkasinana, mahatsinkasina, manatsinkasina, mitsinkasina, mpanatsinkasina, mpitsinkasina, tafatsinkasina, tsinkasinkasina, voatsinkasina"
tsinona,tsinontsinona
tsintsina,fitsintsina
tsintsina,"fitsintsinana, itsintsinana, mahatsintsina, mitsintsina, mpitsintsina, tsintsinina, voatsintsina"
tsintsindrana,"anatsintsindranana, atsintsindrana, fanatsintsindrana, fanatsintsindranana, fitsintsindrana, fitsintsindranana, mahatsintsindrana, manatsintsindrana, mitsintsindrana, mpanatsintsindrana, tafatsintsindrana, tsintsindrantsindrana"
tsioka,"antsioka, fitsiofana, fitsioka, fitsioka, mitsioka, mpitsioka, tsiofina, voatsioka"
tsiotsioka,"itsiotsiohana, maniotsioka"
tsipaikona,"fitsipaikona, mitsipaikona, tsipaikompaikona"
tsipaka,"anipahana, fanipahana, fanipaka, fitsipahana, fitsipaka, itsipahana, mahatsipaka, manipaka, mifanipaka, mitsipaka, mpanipaka, mpitsipaka, tsinipaka, tsipahina, tsipatsipaka, voatsipaka"
tsipaloka,"atsipaloka, fanatsipaloka, fitsipaloka, mahatsipaloka, manatsipaloka, mitsipaloka, voatsipaloka"
tsipalotra,"atsipalotra, fanatsipalotra, fitsipalotra, mahatsipalotra, manatsipalotra, mitsipalotra, voatsipalotra"
tsipatsipaka,mitsipatsipaka
tsipelaka,"fitsipelaka, mitsipelaka"
tsipelika,"atsipelika, manatsipelika, mitsipelika, tafatsipelika, tsipelehina, voatsipelika"
tsipeloka,"anatsipelohana, atsipeloka, fanatsipelohana, fanatsipeloka, fitsipelohana, fitsipeloka, itsipelohana, mahatsipeloka, manatsipeloka, mitsipeloka, mpanatsipeloka, voatsipeloka"
tsipy,manipy
tsipy,"anipazana, atsipy, fanipazana, fanipy, ifanipazana, mahatsipy, manipy, mitsipy, mpanipy, tafatsipy, tsipazana, tsipitsipy, voatsipy"
tsipika,"fanipika, fitsipika, itsipihana, mahatsipika, mampantsipika, manipika, mifantsipika, mpitsipika, tsipitsipika"
tsipika,"fitsipihana, tsipihina, voatsipika"
tsipika,"mitsipika, tafatsipika"
tsipilaka,mitsipilaka
tsipindy,"anatsipindiana, atsipindy, fanatsipindy, fanatsipindiana, manatsipindy, mpanatsipindy, tsipindina, voatsipindy"
tsipitsipy,manipitsipy
tsipitsipy,atsipitsipy
tsiporetika,mitsiporetika
tsipotipotika,mitsipotipotika
tsipotitra,miantsipôtitry
tsipozipozy,mitsipozipozy
tsiraidraika,mitsiraidraika
tsiraka,fitsiratsiraka
tsiraka,"fitsiraka, mitsiraka, tsiratsiraka"
tsiraka,antsiraka
tsirakaraka,"anatsirakarakàna, atsirakaraka, fanatsirakaraka, fanatsirakarakana, fitsirakaraka, fitsirakarakana, mahatsirakaraka, manatsirakaraka, mitsirakaraka, mpanatsirakaraka, tafatsirakaraka, tsirakarakaina, voatsirakaraka"
tsirakorako,"atsirakorako, manatsirakorako, mitsirakorako"
tsirakorako,"fanatsirakorako, fanatsirakorakoana, fitsirakorako, fitsirakorakoana"
tsirambina,"fitsirambina, mitsirambina, mpitsirambina, tsirambindrambina"
tsirangaranga,mitsirangaranga
tsiranorano,"fitsiranorano, mitsiranorano"
tsirara,"anatsirarana, atsirara, fanatsirara, fanatsirarana, fitsirara, fitsirarana, itsirarana, mahatsirara, manatsirara, mitsirara, mpanatsirara, tafatsirara, tsirararara, voatsirara"
tsiratsira,"aniratsirana, faniratsira, faniratsirana, maniratsira, mpaniratsira, tsiratsiraina, voatsiratsira"
tsiratsiraka,mitsiratsiraka
tsiravina,"fahatsiravina, mahatsiravina"
tsiredareda,"anatsiredaredana, atsiredareda, fanatsiredareda, fanatsiredaredana, fitsiredareda, fitsiredaredana, itsiredaredana, mahatsiredareda, manatsiredareda, mitsiredareda, mpanatsiredareda, mpitsiredareda, tafatsiredareda, voatsiredareda"
tsirendrena,"fitsirendrena, mitsirendrena, mpitsirendrena"
tsirendrirendry,"fitsirendrirendry, mitsirendrirendry"
tsirenireny,"fitsirenirenena, fitsirenireny, itsirenirenena, mitsirenireny, mpitsirenireny"
tsiretadretaka,"fitsiretadretahana, fitsiretadretaka, itsiretadretahana, mitsiretadretaka, mpitsiretadretaka"
tsiretareta,mitsiretareta
tsiry,kaniry
tsiry,"aniriana, faniry, faniriana, fitsiry, fitsiriana, itsiriana, maniry, mitsiry, mpaniry, mpitsiry"
tsirika,"fitsirika, fitsirika"
tsirika,"fitsirihana, itsirihana, mahatsirika, mampitsirika, mifampitsirika, mitsirika, mpitsirika, tsinirika, tsirihina, tsiritsirika, voatsirika"
tsirirìka,"atsiririka, fitsiririhana, fitsiririka, itsiririhana, mitsiririka, mpitsiririka, tafatsiririka"
tsiriritra,"fitsiriritana, fitsiriritra, itsiriritana, mahatsiriritra, mampitsiriritra, mitsiriritra, mpitsiriritra, tafatsiriritra, tsiriritina, voatsiriritra"
tsiro,fitsiroana
tsiro,"manatsiro, matsiro"
tsitaitaika,"anatsitaitaihana, atsitaitaika, fanatsitaitaihana, fanatsitaitaika, fitsitaitaihana, fitsitaitaika, itsitaitaihana, mahatsitaitaika, manatsitaitaika, mitsitaitaika, mpanatsitaitaika, mpitsitaitaika, tafatsitaitaika"
tsitapitapy,mitsitapitapy
tsitika,"mitsitika, mitsitika"
tsitika,"atsitika, fitsitihana, fitsitika, itsitihana, mahatsitika, mpitsitika, tafatsitika, tsititsitika"
tsitokantokana,"itsitokantokanana, mitsitokantokana"
tsitokotoko,"fitsitokotokoana, mitsitokotoko"
tsitongatonga,mitsitongatonga
tsitra,fanatsitra
tsitra,"anatsirana, atsitra, fanatsirana, fitsirana, fitsitra, itsirana, mahatsitra, manatsitra, mitsitra, mpanatsitra, mpitsitra, tafatsitra, tsitsitra, voatsitra"
tsitsy,"fitsitsy, matsitsy"
tsitsy,"atsitsy, fitsitsiana, itsitsiana, mahatsitsy, mitsitsy, mpitsitsy, tsitsina, voatsitsy"
tsitsika,fitsitsika
tsitsika,"atsitsika, fitsitsihana, itsitsihana, mitsitsika, mpitsitsika, tsitsihina, voatsitsika"
tsivaka,tsivatsivaka
tsivalana,"anatsivalanana, atsivalana, fanatsivalana, fanatsivalanana, fitsivalana, fitsivalanana, itsivalanana, mahatsivalana, manatsivalana, mitsivalana, mpanatsivalana, mpitsivalana, tafatsivalana, tsivalambalana, tsivalanana, voatsivalana"
tsivatsivaka,mitsivatsivaka
tsivelatra,mitsivelatra
tsivetraka,"anatsivetrahana, atsivetraka, fanatsivetrahana, fanatsivetraka, fitsivetrahana, fitsivetraka, itsivetrahana, mahatsivetraka, manatsivetraka, mitsivetraka, mpanatsivetraka, mpitsivetraka, tafatsivetraka, tsivetrabetraka, voatsivetraka"
tsivoka,mitsivoka
tsizarizary,"anatsizarizariana, fanatsizarizary, fanatsizarizariana, mahatsizarizary, manatsizarizary, mpanatsizarizary"
tsoaka,"anatsoahana, fampitsoahana, fampitsoaka, fanatsoaka, fitsoahana, fitsoaka, itsoahana, mahatsoaka, manatsoaka, mitsoaka, mitsoaka, mpanatsoaka, mpitsoaka, tafatsoaka, tsoahana, tsoatsoaka"
tsobatsoba,"fitsobatsoba, mahatsobatsoba, mitsobatsoba"
tsoboka,manoboka
tsoboka,"anatsobohana, atsoboka, fanatsobohana, fanatsoboka, fitsobohana, fitsoboka, itsobohana, mahatsoboka, manatsoboka, mitsoboka, mpanatsoboka, mpitsoboka, tafatsoboka, tsobohana, tsobohina, tsobotsoboka, voatsoboka"
tsofa,"anatsofana, atsofa, fanatsofa, fanatsofana, fitsofa, mahatsofa, manatsofa, mitsofa, mitsofatsofa, mpanatsofa, mpitsofa, tsofana, tsofatsofa, voatsofa"
tsofoka,"anatsofohana, atsofoka, fanatsofohana, fanatsofoka, fitsofohana, fitsofoka, itsofohana, mahatsofoka, manatsofoka, mitsofoka, mpanatsofoka, mpitsofoka, tafatsofoka, tsofohana, tsofotsofoka, voatsofoka"
tsofotra,"anatsoforana, atsofotra, fanatsoforana, fanatsofotra, fitsoforana, fitsofotra, mahatsofotra, manatsofotra, mitsofotra, mpanatsofotra, tsoforana, tsofotsofotra, voatsofotra"
tsoitsoy,mampitsoitsoy
tsoitsoy,"fitsoitsoy, mitsoitsoy"
tsojay,antsojay
tsoka,fitsàfana
tsoka,"atsoka, fitsofana, fitsoka, hitsoka, itsofana, mahatsoka, mitsoka, mpitsoka, tsofina, tsotsoka, voatsoka"
tsoky,mitsoky
tsoky,tsokitsoky
tsolo,"fanatsolotsolo, fanolotsolo, manolotsolo, mitsolo, mpanolotsolo, tsolotsolo"
tsolo,"atsolo, tsoloana, voatsolo"
tsolotra,"fanolotsolorana, fanolotsolotra"
tsolotra,tsolotsolotra
tsolotsolo,"fitsolotsolo, fitsolotsolo, mitsolotsolo, mitsolotsolo"
tsolotsolo,"anatsolotsoloana, anolotsoloana, atsolotsolo, fanatsolotsoloana, fitsolotsoloana, itsolotsoloana, itsolotsolofana, mpanatsolotsolo, mpitsolotsolo"
tsolotsolotra,fanatsolotsolotra
tsolotsolotra,"anolotsolorana, atsolotsolotra, fitsolotsolotra, mahatsolotsolotra, manatsolotsolotra, manolotsolotra, mitsolotsolotra, mpanolotsolotra, mpitsolotsolotra"
tsonga,"fitsonga, fitsongana, itsongana, mahatsonga, mitsonga, tsongaina, voatsonga"
tsongo,intsongoana
tsongo,"anongoana, antsongony, atsongo, fanongo, fanongoana, fitsongo, fitsongoana, itsongoana, mahatsongo, manongo, mitsongo, mpanongo, mpitsongo, tsinongo, tsongoina, tsongotsongo, voatsongo"
tsongotsongo,anongotsongoana
tsongotsongo,"manongotsongo, tsongotsongoina"
tsonika,"fitaonika, fitsonika, mitsonika"
tsontsa,antsontsany
tsontsa,fahatsontsana
tsontsona,"atsontsona, fitsontsona, fitsontsonana, itsontsonana, mahatsontsona, mitsontsona, mpitsontsona, tsinontsona, tsontsonina, voatsontsona"
tsontsorika,"anatsontsorihana, atsontsorika, fanatsontsorifana, fanatsontsorihana, fanatsontsorika, fitsontsorihana, fitsontsorika, itsontsorihana, mahatsontsorika, manataontsorika, manatsontsorika, mitsontsorika, mpanatsontsorika, mpitsontsorika, tafatsontsorika, tsontsorifana, tsontsorihana, voatsontsorika"
tsontsoroka,tsontsorofina
tsopaka,"mitsopaka, tsoropaka"
tsopiaka,"atsopiaka, fitsopiahana, fitsopiaka, itsopiahana, mahatsopiaka, mitsopiaka, mpitsopiaka, tafatsopiaka, tsopiapiaka"
tsopitsopy,"atsopitsopy, fitsopitsopy, fitsopitsopiana, itsopitsopiana, mahatsopitsopy, mitsopitsopy, mpitsopitsopy, tafatsopitsopy"
tsora,matsora
tsoraka,matsoraka
tsoriaka,"anatsoriahana, atsoriaka, fanatsoriahana, fanatsoriaka, fitsoriahana, fitsoriaka, itsoriahana, mahatsoriaka, manatsoriaka, mitsoriaka, mpanatsoriaka, mpitsoriaka, tafatsoriaka, tsoriadriaka, voatsoriaka"
tsorika,"anorihana, fanorihana, fanorika, manorika, mitsorika"
tsoroaka,"fitsoroahana, fitsoroaka, mitsoroaka, mpitsoroaka"
tsorofoka,"anatsorofohana, atsorofoka, fanatsorofohana, fanatsorofoka, fitsorofohana, fitsorofoka, itsorofohana, mahatsorofoka, manatsorofoka, mitsorofoka, mpanatsorofoka, mpitsorofoka, tafatsorofoka, tsorofodrofoka, voatsorofoka"
tsoromala,mitsoromala
tsoropoka,mpanatsoropoka
tsoropoka,"anatsoropohana, fanatsoropohana, fitsoropohana, itsoropohana"
tsororika,"fitsororihana, fitsororika, itsororihana, mitsororika, tsororidrorika"
tsororoka,fitsororohana
tsororòka,"anatsororohana, atsoror&ograve;ka, fanatsororohana, fanatsororoka, fitsoror&ograve;ka, itsororohana, mahatsoror&ograve;ka, manatsoror&ograve;ka, mitsoror&ograve;ka, mpanatsoror&ograve;ka, tafatsororòka"
tsotaka,tsotatsotaka
tsotaka,"anatsotahana, atsotaka, fanatsotahana, fanatsotaka, fitsotahana, fitsotaka, itsotahana, mahatsotaka, manatsotaka, mitsotaka, mpanatsotaka, tafatsotaka, tsotahana, voatsotaka"
tsotra,fahatsorana
tsotra,"anatsorana, atsotra, fanatsorana, fanatsotra, fitsorana, fitsotra, itsorana, mahatsotra, manatsotra, mitsotra, mpanatsotra, mpitsotra, tafatsotra, tsorina, tsotsotra, voatsotra"
tsotsoka,"fitsotsoka, fitsotsoka"
tsotsotra,mitsotsotra
tsotsotsotso,"anatsotsotsotsoana, atsotsotsotso, fanatsotsotsotso, fanatsotsotsotsoana, fitsotsotsotso, fitsotsotsotsoana, itsotsotsotsoana, manatsotsotsotso, mitsotsotsotso, mpanatsotsotsotso, tafatsotsotsotso, voatsotsotsotso"
tsovaka,"anatsovahana, atsovaka, fanatsovahana, fanatsovaka, fitsovahana, fitsovaka, itsovahana, mahatsovaka, manatsovaka, mitsovaka, mpanatsovaka, tsovahana, tsovatsovaka, voatsovaka"
vady,"anambadiana, fampivadiana, fanambady, fanambadiana, fifanambadiana, fivady, fivadiana, ivadiana, mambady, mampivady, manambady, mifanambady, mivady, mpanambady, mpivady, vadina, vinady"
vady,"avady, mamady, mivady, vadiana, voavady"
vadibadika,"avadibadika, mamadibadika, mivadibadika"
vadiditra,"avadiditra, famadidirana, famadiditra, fivadidirana, fivadiditra, ivadidirana, mahavadiditra, mivadiditra, mpamadiditra, tafavadiditra, vadidirana, vadidirina, voavadiditra"
vadika,"amadihana, ampifamadihana, avadika, famadihana, famadika, fifamadika, fivadihana, fivadika, ivadihana, mahavadika, mamadika, mamadika, mampifamadika, mampivadika, mivadika, mpamadika, mpifamadika, mpivadika, tafavadika, tsimbadika, vadibadika, voavadika"
vadiky,"mamadiky, mivadiky"
vaha,famahana
vaha,famahana
vaha,"avaha, famaha, fivaha, fivahana, ivahana, mahavaha, mamaha, mivaha, mpamaha, vahana, vahavaha, vinaha, voavaha"
vahatra,mamahatra
vahatra,mamahatra
vahavaha,"famahavahana, mamahavaha, mivahavaha"
vahiny,ivahinianana
vahiny,"fivahiny, fivahiniana, ivahiniana, mivahiny, mpivahiny"
vahoaka,"amahoahana, famahoahana, famahoaka, mamahoaka, mpamahoaka"
vahotra,"amahorana, famahorana, famahotra, fivahorana, fivahotra, havahotra, ivahorana, mahavahotra, mamahotra, mivahotra, mpamahotra, mpivahotra, vahobahotra, vahorana, vahorina, voavahotra"
vahotsy,"mamahotsy, mivahotsy"
vahovaho,"fivahovaho, fivahovahoana, ivahovahoana, mahavahovaho, mivahovaho, mpivahovaho"
vay,mivay
vaika,mpamaika
vaika,"amaikana, avaika, famaika, famaikana, fivaika, fivaikàna, ivaikana, mahavaika, mamaika, mivaika, mpavaika, vaikaina, voavaika"
